,dn0_lo10,dn0_med,dn0_up90,rn0_lo10,rn0_med,rn0_up90,gamman_lo10,gamman_med,gamman_up90,bioassay_mortality,resistance
1,0.28143939,0.313552075,0.350317658,0.629340769,0.658532942,0.68227717,2.64,2.64,2.64,1,0
2,0.28121492,0.313195536,0.350037008,0.629570647,0.658806223,0.682436525,2.635989451,2.637438554,2.63861873,0.99,0.01
3,0.280783974,0.312765708,0.349745305,0.629809473,0.659135404,0.682742236,2.631959262,2.63485623,2.637225634,0.98,0.02
4,0.280348648,0.312420326,0.349385979,0.630103514,0.659399698,0.683050689,2.62789768,2.632252648,2.63582049,0.97,0.03
5,0.279908856,0.312082583,0.348932854,0.630474076,0.659657961,0.683361932,2.623804709,2.629627422,2.63440307,0.96,0.04
6,0.279434077,0.31182031,0.348451216,0.630867666,0.659858379,0.683697518,2.619681493,2.626980152,2.63297314,0.95,0.05
7,0.278869412,0.311544436,0.347964163,0.63126538,0.660069088,0.684096076,2.615527524,2.624310428,2.631530455,0.94,0.06
8,0.278298792,0.311129886,0.347471577,0.631667299,0.66038547,0.684498199,2.611342281,2.621620738,2.630074768,0.93,0.07
9,0.277741348,0.310740523,0.346973337,0.632073513,0.660682379,0.684890431,2.607125693,2.618910937,2.628605821,0.92,0.08
10,0.277165775,0.310403944,0.346473861,0.63248041,0.660938838,0.685294756,2.602877105,2.616184058,2.627123349,0.91,0.09
11,0.276559104,0.310029123,0.345970466,0.632890171,0.661224218,0.685720209,2.598595777,2.613444032,2.625627079,0.9,0.1
12,0.275958007,0.309613596,0.345451943,0.633311902,0.661540322,0.686141034,2.594297918,2.610691591,2.624116729,0.89,0.11
13,0.275351907,0.309143863,0.344945666,0.633723329,0.661897327,0.686564632,2.589970564,2.607921902,2.622592008,0.88,0.12
14,0.274733847,0.308640639,0.344429414,0.634142517,0.662279383,0.68699583,2.585613717,2.605133352,2.621052616,0.87,0.13
15,0.274113875,0.3082287,0.343955809,0.63452677,0.662591821,0.687427592,2.581225888,2.602325609,2.619498242,0.86,0.14
16,0.273777081,0.307727461,0.34347638,0.634915446,0.662971617,0.687661815,2.576806395,2.599498329,2.617928567,0.85,0.15
17,0.273273837,0.307367048,0.342944572,0.635346228,0.663244448,0.688011375,2.572354685,2.59665116,2.61634326,0.84,0.16
18,0.27277534,0.306966355,0.342239277,0.635916955,0.663547518,0.688357129,2.567870187,2.593783737,2.614741977,0.83,0.17
19,0.272258473,0.306589997,0.341676612,0.63637179,0.663831941,0.688715092,2.563352315,2.590878686,2.613124366,0.82,0.18
20,0.271671529,0.306143529,0.341131994,0.636811634,0.664169042,0.689120927,2.558800465,2.587941391,2.61149006,0.81,0.19
21,0.271287793,0.305726901,0.340656772,0.637195108,0.664483308,0.689385873,2.554214015,2.584979262,2.609838681,0.8,0.2
22,0.270686947,0.305360612,0.340171799,0.637586134,0.66475937,0.68980012,2.549592325,2.581991789,2.608169835,0.79,0.21
23,0.270024194,0.304874695,0.33957991,0.638062932,0.66512524,0.690256186,2.544934732,2.578978444,2.606483117,0.78,0.22
24,0.269645031,0.304289731,0.338978214,0.638547142,0.66556516,0.690516695,2.540240556,2.575938682,2.604778105,0.77,0.23
25,0.269362233,0.303862465,0.33830929,0.639084873,0.66588612,0.690710801,2.535509091,2.57285419,2.603054362,0.76,0.24
26,0.26884092,0.303439119,0.337631668,0.63962897,0.66620383,0.691068184,2.530739614,2.569739372,2.601311435,0.75,0.25
27,0.268289916,0.302880769,0.336940229,0.640183511,0.666622392,0.691445302,2.525931372,2.566613585,2.599548853,0.74,0.26
28,0.267484871,0.302417523,0.336248257,0.640737818,0.666969257,0.691995168,2.521083592,2.56345885,2.597766129,0.73,0.27
29,0.266957349,0.3019044,0.335602109,0.641254818,0.667353042,0.692354739,2.516195473,2.560274517,2.595962754,0.72,0.28
30,0.266511371,0.301358891,0.335167819,0.641601977,0.667760555,0.692658271,2.511266187,2.557059912,2.594138202,0.71,0.29
31,0.266019701,0.300835939,0.334530201,0.642111193,0.668150735,0.692992415,2.506294877,2.553814335,2.592291924,0.7,0.3
32,0.265626459,0.300260182,0.334092065,0.642460768,0.66857977,0.693259298,2.501280657,2.550537062,2.590423349,0.69,0.31
33,0.265128202,0.299683924,0.333560403,0.642884602,0.669008606,0.693596987,2.496222608,2.54721076,2.588531883,0.68,0.32
34,0.264653081,0.299118631,0.332698258,0.643571044,0.669428726,0.693918501,2.49111978,2.543835549,2.58662476,0.67,0.33
35,0.263993274,0.298510807,0.331775387,0.644304667,0.669879828,0.694364198,2.485911532,2.540394658,2.584717649,0.66,0.34
36,0.263457726,0.29788307,0.331007381,0.644914256,0.670345035,0.694725272,2.480643248,2.536904428,2.582788411,0.65,0.35
37,0.262728643,0.297254597,0.33027438,0.645495272,0.670810094,0.69521584,2.475321386,2.533460805,2.580836447,0.64,0.36
38,0.262139491,0.296673251,0.329614355,0.646017774,0.67123966,0.695611424,2.469944648,2.529992166,2.578861131,0.63,0.37
39,0.261301641,0.296067739,0.329086258,0.646435394,0.671686449,0.696172702,2.464511684,2.526468201,2.576861812,0.62,0.38
40,0.260559191,0.295413873,0.32831622,0.647043607,0.672168186,0.696668798,2.459021089,2.522874512,2.574836456,0.61,0.39
41,0.259770203,0.294764746,0.327468829,0.647711917,0.672645681,0.697194672,2.453471401,2.51923897,2.572785425,0.6,0.4
42,0.259098377,0.294095607,0.326781027,0.648253594,0.673137107,0.697641383,2.447861095,2.515590338,2.570708124,0.59,0.41
43,0.25865732,0.293219522,0.32613829,0.648759149,0.673779304,0.69793409,2.442188582,2.511893018,2.568584779,0.58,0.42
44,0.257853151,0.292430719,0.325394733,0.649343242,0.674356336,0.698466712,2.436452204,2.508110456,2.566377716,0.57,0.43
45,0.256833599,0.291708744,0.324720875,0.649871878,0.674883495,0.699139947,2.430650229,2.504279885,2.564131598,0.56,0.44
46,0.255774155,0.290992578,0.323855043,0.650550117,0.675405477,0.699837058,2.424780849,2.500399861,2.561874307,0.55,0.45
47,0.255160417,0.290297066,0.323101327,0.651139622,0.675911507,0.700239743,2.418842171,2.496468867,2.559632515,0.54,0.46
48,0.254099498,0.289821267,0.322511597,0.651600269,0.676257171,0.700933844,2.412832214,2.492485313,2.557360336,0.53,0.47
49,0.253173837,0.289063811,0.321565871,0.652337884,0.676806598,0.701537369,2.406748904,2.488447527,2.555059165,0.52,0.48
50,0.252316542,0.288376603,0.320972604,0.652799922,0.677304152,0.702094587,2.400590066,2.484353751,2.552723569,0.51,0.49
51,0.251516032,0.287671711,0.320150205,0.653439508,0.677813599,0.702613379,2.394353418,2.480232631,2.550352354,0.5,0.5
52,0.250535063,0.286934183,0.319285625,0.654110779,0.678345644,0.703247121,2.388036563,2.476044186,2.547944255,0.49,0.51
53,0.249571658,0.286195637,0.3187188,0.654550244,0.678877403,0.703867353,2.381636981,2.471680249,2.545497937,0.48,0.52
54,0.248503453,0.285357799,0.318045894,0.655071313,0.679479409,0.70455254,2.375165502,2.467245696,2.543011991,0.47,0.53
55,0.247711597,0.284599695,0.317204703,0.655721701,0.680022988,0.705058749,2.368601301,2.462873708,2.540484919,0.46,0.54
56,0.246635737,0.283844823,0.316421596,0.65632619,0.680563164,0.705744158,2.361929227,2.458558625,2.537915136,0.45,0.55
57,0.245839725,0.28304347,0.31563136,0.656935205,0.681135413,0.70624952,2.355561155,2.454168604,2.535300958,0.44,0.56
58,0.244180619,0.282115859,0.314831117,0.657550927,0.681796288,0.707298022,2.349240808,2.449630101,2.532640596,0.43,0.57
59,0.243261352,0.281245359,0.314018447,0.658175177,0.68241497,0.707876133,2.342389974,2.444994822,2.529932144,0.42,0.58
60,0.242016843,0.280218635,0.313122856,0.658861906,0.683142798,0.708655559,2.335376387,2.44026105,2.527173569,0.41,0.59
61,0.240925111,0.27952853,0.312251116,0.659529111,0.683630842,0.709336201,2.328286246,2.435446417,2.524362701,0.4,0.6
62,0.239890436,0.278568189,0.311382501,0.660192709,0.684308454,0.709978618,2.321089416,2.430592039,2.521497221,0.39,0.61
63,0.238774539,0.277707138,0.310490044,0.660873251,0.684914483,0.710668515,2.313932568,2.425662375,2.518574641,0.38,0.62
64,0.237775212,0.276779115,0.309491488,0.661633162,0.685566004,0.711283737,2.306416214,2.420644993,2.51551913,0.37,0.63
65,0.236525344,0.275377078,0.308394772,0.662465896,0.686547052,0.712049726,2.298762288,2.415465254,2.512376969,0.36,0.64
66,0.235292914,0.27427425,0.307390961,0.663226352,0.687315976,0.712801212,2.290973775,2.410144862,2.509161748,0.35,0.65
67,0.233835388,0.272968419,0.306478278,0.663916325,0.688223252,0.713685027,2.283091666,2.404654189,2.50586963,0.34,0.66
68,0.232315153,0.271758443,0.305432091,0.664705514,0.689060876,0.714601142,2.275077232,2.399164446,2.502496455,0.33,0.67
69,0.231277629,0.270539722,0.304637825,0.665303447,0.689901491,0.71522298,2.266913386,2.393540579,2.499037703,0.32,0.68
70,0.229228416,0.269283122,0.303553835,0.666117769,0.69076506,0.716443046,2.25856822,2.387805779,2.495488453,0.31,0.69
71,0.227396392,0.267839149,0.302436114,0.666955345,0.691753356,0.717524579,2.250065868,2.381975895,2.491843331,0.3,0.7
72,0.226467309,0.266585817,0.301197953,0.667880683,0.692607633,0.718069608,2.241527784,2.375967903,2.488096451,0.29,0.71
73,0.224850718,0.26526514,0.300121491,0.668683034,0.693504232,0.719012709,2.232838303,2.369677438,2.484221748,0.28,0.72
74,0.222815373,0.263812998,0.299248521,0.669332241,0.69448581,0.720190259,2.223950746,2.363325912,2.480223763,0.27,0.73
75,0.221241506,0.26240624,0.298076618,0.670201668,0.695432412,0.721093136,2.214450849,2.356901525,2.476100186,0.26,0.74
76,0.219683135,0.260883032,0.297144814,0.670891258,0.696452559,0.721980491,2.204970084,2.350042342,2.471842055,0.25,0.75
77,0.217991011,0.259204231,0.296473084,0.671387429,0.697571065,0.722936515,2.195880214,2.342934487,2.467522432,0.24,0.76
78,0.216445643,0.257433478,0.295280322,0.672266484,0.698744127,0.723802695,2.186144318,2.335704645,2.463088282,0.23,0.77
79,0.214106852,0.255888515,0.294048276,0.673171835,0.699761933,0.72510096,2.176467434,2.328760097,2.458497458,0.22,0.78
80,0.211942626,0.253853784,0.292592597,0.67423801,0.701094237,0.726288568,2.166800354,2.321148233,2.453722015,0.21,0.79
81,0.210192625,0.25177413,0.290412845,0.675827332,0.702446273,0.727239139,2.156312614,2.313621542,2.448516785,0.2,0.8
82,0.208334394,0.249985188,0.289129166,0.676759233,0.703601385,0.728238828,2.145181038,2.30557132,2.443232924,0.19,0.81
83,0.206125404,0.247984341,0.287144635,0.678193917,0.704884558,0.729414126,2.134585814,2.297337385,2.437990496,0.18,0.82
84,0.203193374,0.245997991,0.285273132,0.679540174,0.706149167,0.730951973,2.123687135,2.288886539,2.432519306,0.17,0.83
85,0.200775075,0.243756817,0.283578497,0.680753447,0.707564797,0.732201031,2.112458937,2.280533918,2.426787916,0.16,0.84
86,0.198237146,0.241337627,0.281904934,0.681946331,0.709079362,0.73349283,2.100925715,2.271488322,2.42048751,0.15,0.85
87,0.195304359,0.238281863,0.27949209,0.683656573,0.710972134,0.734960979,2.088872918,2.261797439,2.414420759,0.14,0.86
88,0.192497844,0.235672589,0.27731076,0.685192955,0.712570093,0.736340815,2.077153136,2.251612938,2.407488658,0.13,0.87
89,0.189199999,0.232164,0.275053263,0.68677308,0.714691904,0.737930345,2.066143982,2.240898475,2.399920295,0.12,0.88
90,0.185715178,0.228629927,0.271980757,0.688907202,0.716797299,0.739571941,2.052211448,2.230098475,2.391759584,0.11,0.89
91,0.182017291,0.225335994,0.268688809,0.691172358,0.718730408,0.741270341,2.036556659,2.218726703,2.382742701,0.1,0.9
92,0.177013258,0.22155229,0.265773547,0.693159509,0.720915378,0.74349569,2.019741827,2.205217972,2.373024074,0.09,0.91
93,0.171672256,0.21684439,0.262577751,0.695317178,0.723579839,0.745776028,2.000676448,2.190803518,2.363111945,0.08,0.92
94,0.166011362,0.21162792,0.25980426,0.697171981,0.72646017,0.748082991,1.984816912,2.17541021,2.351581058,0.07,0.93
95,0.159484555,0.205957929,0.255389252,0.700089687,0.729502636,0.750598085,1.966269807,2.158316398,2.339573129,0.06,0.94
96,0.15185376,0.198841433,0.249788859,0.703727708,0.733187034,0.753335165,1.942765752,2.138980474,2.324725698,0.05,0.95
97,0.142636599,0.190968565,0.243687372,0.707608466,0.73708222,0.756336833,1.915775607,2.119819641,2.307159254,0.04,0.96
98,0.131178911,0.180960163,0.236219043,0.712236852,0.741747496,0.759580658,1.890265302,2.094270922,2.285401524,0.03,0.97
99,0.115877167,0.167180769,0.226291066,0.71817285,0.747615861,0.763016501,1.854993774,2.062558687,2.261269851,0.02,0.98
100,0.093518492,0.145526745,0.211290386,0.726643888,0.755432322,0.765774399,1.80911982,2.020123178,2.221222574,0.01,0.99
101,0,0,0,0.745631384,0.745631384,0.745631384,1.655170975,1.827237287,1.965451366,0,1
